GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tax Gap Detection & Compliance Validation Service,com.taxgap,TaxGapServiceApplication,5,3,0,0,2,1,1,1,1,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.controller,AuthController,45,0,0,0,7,0,2,0,2,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.controller,TransactionController,17,6,0,0,3,1,3,1,3,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.controller,ExceptionController,14,0,0,0,2,0,2,0,2,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.controller,AuditController,17,0,0,0,3,0,3,0,3,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.controller,ReportController,16,0,0,0,3,0,3,0,3,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,TaxResult,59,55,0,0,8,8,16,8,16,8
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,AppUser,70,0,0,0,10,0,15,0,15,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,Transaction.TransactionBuilder,41,76,0,0,0,1,4,11,4,11
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,TaxRule.TaxRuleBuilder,38,43,0,0,0,1,5,6,5,6
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,AuditLog,64,0,0,0,11,0,14,0,14,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,Transaction,49,85,0,0,5,13,13,15,13,15
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,TaxException.TaxExceptionBuilder,16,56,0,0,0,1,1,9,1,9
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,AuditLog.AuditLogBuilder,54,0,0,0,1,0,8,0,8,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,TaxResult.TaxResultBuilder,32,67,0,0,0,1,3,10,3,10
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,TaxRule,61,40,0,0,12,5,16,5,16,5
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,AppUser.AppUserBuilder,63,0,0,0,1,0,9,0,9,0
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.entity,TaxException,35,49,0,0,4,9,9,9,9,9
Tax Gap Detection & Compliance Validation Service,com.taxgap.engine.rules,GstSlabViolationRule,10,98,2,10,3,21,2,8,0,4
Tax Gap Detection & Compliance Validation Service,com.taxgap.engine.rules,HighValueTransactionRule,8,64,1,3,2,16,1,5,0,4
Tax Gap Detection & Compliance Validation Service,com.taxgap.engine.rules,RefundValidationRule,8,70,1,5,2,18,1,6,0,4
Tax Gap Detection & Compliance Validation Service,com.taxgap.engine,RuleEngine,6,68,1,3,2,13,1,4,0,3
Tax Gap Detection & Compliance Validation Service,com.taxgap.engine,TaxGapCalculator,0,95,0,6,0,34,0,7,0,4
Tax Gap Detection & Compliance Validation Service,com.taxgap.engine,ValidationEngine,0,79,1,19,0,19,1,11,0,2
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.enums,ValidationStatus,0,15,0,0,0,2,0,1,0,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.enums,EventType,0,21,0,0,0,2,0,1,0,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.enums,ComplianceStatus,0,27,0,0,0,2,0,1,0,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.enums,TransactionType,0,21,0,0,0,2,0,1,0,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.domain.enums,Severity,0,21,0,0,0,2,0,1,0,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.service,ExceptionService,23,115,6,8,2,32,5,10,0,8
Tax Gap Detection & Compliance Validation Service,com.taxgap.service,TransactionService,52,306,3,21,11,67,5,17,2,8
Tax Gap Detection & Compliance Validation Service,com.taxgap.service,AuditService,78,4,0,0,25,1,5,1,5,1
Tax Gap Detection & Compliance Validation Service,com.taxgap.service,ReportService,14,181,4,6,2,40,4,9,0,8
Tax Gap Detection & Compliance Validation Service,com.taxgap.exception,GlobalExceptionHandler,49,51,3,1,7,10,5,4,3,4
